Area,Method,Pokémon,Min Level,Max Level
Route 101,Grass,wurmple,2,5
Route 101,Grass,poochyena,2,5
Route 101,Grass,pidgey,2,5
Route 101,Grass,blipbug,2,5
Route 101,Grass,alolan-meowth,2,5
Route 101,Grass,bunnelby,2,5
Route 101,Grass,chewtle,2,5
Route 101,Grass,rolycoly,2,5
Route 101,Grass,fomantis,2,5
Route 101,Grass,sewaddle ,2,5
Route 101,Grass,vulpix,2,5
Route 101,Grass,growlithe,2,5
Route 102,Grass,rattata,3,5
Route 102,Grass,surskit,3,5
Route 102,Grass,lillipup,3,5
Route 102,Grass,timburr,3,5
Route 102,Grass,rookidee,3,5
Route 102,Grass,phanpy,3,5
Route 102,Grass,ralts,3,5
Route 102,Grass,bounsweet,3,5
Route 102,Grass,poliwag,3,5
Route 102,Grass,joltik,3,5
Route 102,Grass,alolan vulpix,3,5
Route 102,Grass,alolan sandshrew,3,5
Route 103,Grass,galar zigzagoon,3,5
Route 103,Grass,wooloo,3,5
Route 103,Grass,wingull,3,5
Route 103,Grass,rufflet,3,5
Route 103,Grass,crabrawler,3,5
Route 103,Grass,tangela,3,5
Route 103,Grass,Meowth-galar,3,5
Route 103,Grass,croagunk,3,5
Route 103,Grass,oddish,3,5
Route 103,Grass,snubbull,3,5
Route 103,Grass,wattrel,3,5
Route 103,Grass,scatterbug,3,5
Route 104,Grass,starly,4,6
Route 104,Grass,lotad,4,6
Route 104,Grass,teddiursa,4,6
Route 104,Grass,seedot,4,6
Route 104,Grass,pidove,4,6
Route 104,Grass,nickit,4,6
Route 104,Grass,smoliv,4,6
Route 104,Grass,gossifleur,4,6
Route 104,Grass,krabby,4,6
Route 104,Grass,lechonk,4,6
Route 104,Grass,panpour,4,6
Route 104,Grass,panpour,4,6
Route 110,Grass,ponyta,19,23
Route 110,Grass,blitzle,19,23
Route 110,Grass,plusle,19,23
Route 110,Grass,minun,19,23
Route 110,Grass,pawmi,19,23
Route 110,Grass,shinx,19,23
Route 110,Grass,toxel,19,23
Route 110,Grass,tynamo,19,23
Route 110,Grass,electrike,19,23
Route 110,Grass,fletchling,19,23
Route 110,Grass,flabebe,19,23
Route 110,Grass,axew,19,23
Route 111,Grass,trapinch,30,35
Route 111,Grass,cacnea,30,35
Route 111,Grass,rockruff,30,35
Route 111,Grass,greavard,30,35
Route 111,Grass,stunfisk,30,35
Route 111,Grass,golett,30,35
Route 111,Grass,helioptile,30,35
Route 111,Grass,klawf,30,35
Route 111,Grass,baltoy,30,35
Route 111,Grass,orthworm,30,35
Route 111,Grass,gible,30,35
Route 111,Grass,larvitar,30,35
Route 111,Rocksmash,geodude alola,30,35
Route 111,Rocksmash,geodude alola,30,35
Route 111,Rocksmash,roggenrola,30,35
Route 111,Rocksmash,roggenrola,30,35
Route 111,Rocksmash,geodude alola,30,35
Route 112,Grass,numel,22,24
Route 112,Grass,bellsprout,22,24
Route 112,Grass,spearow,22,24
Route 112,Grass,murkrow,22,24
Route 112,Grass,houndour,22,24
Route 112,Grass,pawniard,22,24
Route 112,Grass,onix,22,24
Route 112,Grass,farfetchd,22,24
Route 112,Grass,sneasel hisui,22,24
Route 112,Grass,druddigon,22,24
Route 112,Grass,deino,22,24
Route 112,Grass,jangmo-o,22,24
Route 113,Grass,spinda,23,25
Route 113,Grass,tarountula,23,25
Route 113,Grass,drifloon,23,25
Route 113,Grass,snorunt,23,25
Route 113,Grass,slakoth,23,25
Route 113,Grass,stantler,23,25
Route 113,Grass,venipede,23,25
Route 113,Grass,cottonee,23,25
Route 113,Grass,tropius,23,25
Route 113,Grass,munchlax,23,25
Route 113,Grass,frigibax,23,25
Route 113,Grass,goomy,23,25
Route 114,Grass,swablu,23,25
Route 114,Grass,zangoose,23,25
Route 114,Grass,seviper,23,25
Route 114,Grass,tinkatink,23,25
Route 114,Grass,sneasel,23,25
Route 114,Grass,skarmory,23,25
Route 114,Grass,vanillite,23,25
Route 114,Grass,sunkern,23,25
Route 114,Grass,hoppip,23,25
Route 114,Grass,Snover,23,25
Route 114,Grass,tauros,23,25
Route 114,Grass,tauros combat,23,25
Route 114,Rocksmash,Corsola,23,25
Route 114,Rocksmash,Corsola,23,25
Route 114,Rocksmash,stunfisk-galar,23,25
Route 114,Rocksmash,stunfisk-galar,23,25
Route 114,Rocksmash,stunfisk-galar,23,25
Rustboro City,Grass,shroomish,5,6
Rustboro City,Grass,shroomish,5,6
Rustboro City,Grass,shroomish,5,6
Rustboro City,Grass,pidgey,5,6
Rustboro City,Grass,pidgey,5,6
Rustboro City,Grass,pidgey,5,6
Rustboro City,Grass,meowth,5,6
Rustboro City,Grass,meowth,5,6
Rustboro City,Grass,meowth,5,6
Rustboro City,Grass,meowth,5,6
Rustboro City,Grass,pansear,5,6
Rustboro City,Grass,pansear,5,6
Route 115,Grass,Hatenna,28,33
Route 115,Grass,Impidimp,28,33
Route 115,Grass,Dhelmise,28,33
Route 115,Grass,Komala,28,33
Route 115,Grass,Pyukumuku,28,33
Route 115,Grass,Sinistea,28,33
Route 115,Grass,Bouffalant,28,33
Route 115,Grass,Foongus,28,33
Route 115,Grass,Carnivine,28,33
Route 115,Grass,Burmy,28,33
Route 115,Grass,Nihilego,28,33
Route 115,Grass,Buzzwole,28,33
Route 116,Grass,petilil,6,8
Route 116,Grass,skorupi,6,8
Route 116,Grass,nidoranM,6,8
Route 116,Grass,nidoranF,6,8
Route 116,Grass,magby,6,8
Route 116,Grass,bidoof,6,8
Route 116,Grass,nincada,6,8
Route 116,Grass,skitty,6,8
Route 116,Grass,vullaby,6,8
Route 116,Grass,budew,6,8
Route 116,Grass,abra,6,8
Route 116,Grass,drowzee,6,8
Route 117,Grass,mudbray,20,24
Route 117,Grass,silicobra,20,24
Route 117,Grass,machop,20,24
Route 117,Grass,pinsir,20,24
Route 117,Grass,heracross,20,24
Route 117,Grass,scyther,20,24
Route 117,Grass,cubone,20,24
Route 117,Grass,yamask-galar,20,24
Route 117,Grass,volbeat,20,24
Route 117,Grass,illumise,20,24
Route 117,Grass,snom,20,24
Route 117,Grass,larvesta,20,24
Route 118,Grass,Sentret,25,30
Route 118,Grass,Aipom,25,30
Route 118,Grass,Gulpin,25,30
Route 118,Grass,Maractus,25,30
Route 118,Grass,Deerling,25,30
Route 118,Grass,spinarak,25,30
Route 118,Grass,Hawlucha,25,30
Route 118,Grass,Pikipek,25,30
Route 118,Grass,Cufant,25,30
Route 118,Grass,Miltank,25,30
Route 118,Grass,Gimmighoul,25,30
Route 118,Grass,Falinks,25,30
Route 119,Grass,Capsakid,30,35
Route 119,Grass,growlithe-hisui,30,35
Route 119,Grass,Ledyba,30,35
Route 119,Grass,durant,30,35
Route 119,Grass,Combee,30,35
Route 119,Grass,Stonjourner,30,35
Route 119,Grass,Cutiefly,30,35
Route 119,Grass,Nymble,30,35
Route 119,Grass,Indeedee-female,30,35
Route 119,Grass,Indeedee-male,30,35
Route 119,Grass,Kartana,30,35
Route 119,Grass,Pheromosa,30,35
Route 120,Grass,growlithe,35,40
Route 120,Grass,skiddo,35,40
Route 120,Grass,maschiff,35,40
Route 120,Grass,buneary,35,40
Route 120,Grass,absol,35,40
Route 120,Grass,cherubi,35,40
Route 120,Grass,milcery,35,40
Route 120,Grass,glimmet,35,40
Route 120,Grass,rellor,35,40
Route 120,Grass,squakabilly,35,40
Route 120,Grass,glameow,35,40
Route 120,Grass,poltchageist,35,40
Route 121,Grass,Tandemaus,38,42
Route 121,Grass,Shroodle,38,42
Route 121,Grass,Bramblin,38,42
Route 121,Grass,Flittle,38,42
Route 121,Grass,weezing,38,42
Route 121,Grass,flaafy,38,42
Route 121,Grass,pumpkaboo,38,42
Route 121,Grass,klang,38,42
Route 121,Grass,tauros,38,42
Route 121,Grass,krokorok,38,42
Route 121,Grass,Blacephalon,38,42
Route 121,Grass,Xurkitree,38,42
Route 122,Grass,sandshrew-alola,40,42
Route 122,Grass,dhelmise,40,42
Route 122,Grass,gogoat,40,42
Route 122,Grass,banette,40,42
Route 122,Grass,persian-alola,40,42
Route 122,Grass,persian,40,42
Route 122,Grass,hypno,40,42
Route 122,Grass,sigilyph,40,42
Route 122,Grass,cinccino,40,42
Route 122,Grass,overqwil,40,42
Route 122,Grass,zweilous,40,42
Route 122,Grass,zweilous,40,42
Route 123,Grass,toedscruel,40,42
Route 123,Grass,pangoro,40,42
Route 123,Grass,turtonator,40,42
Route 123,Grass,parasect,40,42
Route 123,Grass,arboliva,40,42
Route 123,Grass,tangrowth,40,42
Route 123,Grass,roselia,40,42
Route 123,Grass,druddigon,40,42
Route 123,Grass,ribombee,40,42
Route 123,Grass,sliggoo-hisui,40,42
Route 123,Grass,sliggoo,40,42
Route 123,Grass,iron moth,40,42
Route 124,Grass,palossand,42,47
Route 124,Grass,fidough,42,47
Route 124,Grass,hakamo-o,42,47
Route 124,Grass,dragonair,42,47
Route 124,Grass,sunflora,42,47
Route 124,Grass,ninetales,42,47
Route 124,Grass,grapploct,42,47
Route 124,Grass,talonflame,42,47
Route 124,Grass,eelektross,42,47
Route 124,Grass,drampa,42,47
Route 124,Grass,sandy shocks,42,47
Route 124,Grass,slither wing,42,47
Route 107,Grass,scyther,30,40
Route 107,Grass,heracross,30,40
Route 107,Grass,pinsir,30,40
Route 107,Grass,cetitan,30,40
Route 107,Grass,skarmory,30,40
Route 107,Grass,stunfisk,30,40
Route 107,Grass,stunfisk-galar,30,40
Route 107,Grass,spiritomb,30,40
Route 107,Grass,lickitung,30,40
Route 107,Grass,floette,30,40
Route 107,Grass,dragonair,30,40
Route 107,Grass,gabite,30,40
Route 109,Grass,grafaiai,30,40
Route 109,Grass,cherrim,30,40
Route 109,Grass,skrelp,30,40
Route 109,Grass,hippowdon,30,40
Route 109,Grass,zoroark,30,40
Route 109,Grass,zoroark-hisui,30,40
Route 109,Grass,trevenant,30,40
Route 109,Grass,tinkattuff,30,40
Route 109,Grass,ursaring,30,40
Route 109,Grass,gliscor,30,40
Route 109,Grass,shelgon,30,40
Route 109,Grass,shelgon,30,40
Route 127,Grass,drapion,42,47
Route 127,Grass,gardevoir,42,47
Route 127,Grass,gallade,42,47
Route 127,Grass,jigglypuff,42,47
Route 127,Grass,electabuzz,42,47
Route 127,Grass,wobuffet,42,47
Route 127,Grass,ferrothorn,42,47
Route 127,Grass,araquanid,42,47
